protein1	protein2	experimental
b0002	b1096	0.073
b0002	b0650	0.092
b0002	b2290	0.306
b0002	b2069	0.092
b0002	b3117	0.162
b0002	b1829	0.1
b0002	b3926	0.112
b0002	b2526	0.092
b0002	b0909	0.1
b0002	b2517	0.104
b0002	b1033	0.112
b0002	b2913	0.112
b0002	b2268	0.106
b0002	b0928	0.121
b0002	b1439	0.083
b0002	b3347	0.266
b0002	b2019	0.111
b0002	b3931	0.047
b0002	b4207	0.266
b0002	b1095	0.102
b0002	b0436	0.165
b0002	b1719	0.089
b0002	b0913	0.163
b0002	b2871	0.162
b0002	b4054	0.121
b0002	b0174	0.164
b0002	b1474	0.129
b0002	b3639	0.104
b0002	b2838	0.302
b0002	b0014	0.092
b0002	b3941	0.163
b0002	b3894	0.129
b0002	b2697	0.089
b0002	b2599	0.073
b0002	b3670	0.075
b0002	b2379	0.306
b0002	b2320	0.112
b0002	b0078	0.075
b0002	b3569	0.127
b0002	b4481	0.112
b0002	b0004	0.122
b0002	b2329	0.083
b0002	b3772	0.162
b0002	b1091	0.102
b0002	b3433	0.164
b0002	b0600	0.306
b0002	b4052	0.132
b0002	b2892	0.164
b0002	b1692	0.091
b0002	b0907	0.079
b0002	b2837	0.127
b0002	b0473	0.116
b0002	b3281	0.091
b0002	b2600	0.073
b0002	b4170	0.153
b0002	b2323	0.102
b0002	b4159	0.159
b0002	b0049	0.107
b0002	b1260	0.105
b0002	b0003	0.122
b0002	b2319	0.164
b0002	b2936	0.1
b0002	b4340	0.083
b0002	b0345	0.127
b0002	b3770	0.073
b0003	b3064	0.127
b0003	b2290	0.118
b0003	b2234	0.151
b0003	b3833	0.101
b0003	b0002	0.122
b0003	b3616	0.105
b0003	b0870	0.127
b0003	b0031	0.13
b0003	b2379	0.118
b0003	b3300	0.127
b0003	b3940	0.122
b0003	b0600	0.118
b0003	b0907	0.127
b0003	b2533	0.125
b0003	b4388	0.124
b0003	b2675	0.151
b0003	b3784	0.119
b0003	b3888	0.11
b0003	b4024	0.122
b0003	b0033	0.098
b0003	b2560	0.124
b0003	b1605	0.108
b0004	b1096	0.07100000000000001
b0004	b1581	0.379
b0004	b3064	0.127
b0004	b2290	0.118
b0004	b2253	0.105
b0004	b2315	0.07100000000000001
b0004	b3771	0.07200000000000001
b0004	b1637	0.07200000000000001
b0004	b0002	0.122
b0004	b0175	0.125
b0004	b2114	0.07100000000000001
b0004	b0870	0.127
b0004	b0269	0.07200000000000001
b0004	b2379	0.118
b0004	b1896	0.228
b0004	b2601	0.08700000000000001
b0004	b0441	0.07100000000000001
b0004	b2890	0.107
b0004	b4297	0.07200000000000001
b0004	b2508	0.117
b0004	b2329	0.089
b0004	b3940	0.122
b0004	b3433	0.1
b0004	b0600	0.118
b0004	b0907	0.127
b0004	b2837	0.144
b0004	b1658	0.144
b0004	b3775	0.07100000000000001
b0004	b4388	0.124
b0004	b1851	0.07200000000000001
b0004	b4019	0.074
b0004	b2319	0.1
b0004	b1719	0.08700000000000001
b0004	b4024	0.122
b0004	b3526	0.298
b0004	b2560	0.124
b0004	b2151	0.144
b0004	b3317	0.07100000000000001
b0004	b3791	0.105
b0004	b3770	0.07100000000000001
b0004	b0754	0.08700000000000001
b0004	b0053	0.07100000000000001
b0004	b0930	0.073
b0004	b1704	0.08700000000000001
b0004	b4129	0.107
b0005	b2783	0.101
b0006	b0587	0.398
b0006	b0007	0.093
b0006	b2053	0.147
b0006	b0183	0.147
b0006	b2049	0.176
b0006	b2028	0.155
b0007	b2298	0.073
b0007	b0040	0.073
b0007	b0006	0.093
b0007	b0151	0.078
b0007	b1121	0.153
b0007	b3679	0.075
b0007	b2778	0.153
b0008	b2465	0.18
b0008	b4267	0.127
b0008	b3753	0.157
b0008	b0993	0.111
b0008	b0608	0.127
b0008	b0014	0.081
b0008	b0982	0.212
b0008	b1922	0.118
b0008	b0755	0.147
b0008	b4085	0.157
b0008	b3141	0.124
b0008	b1852	0.162
b0008	b0759	0.107
b0008	b0071	0.398
b0008	b2370	0.111
b0008	b1651	0.124
b0008	b3616	0.127
b0008	b0080	0.158
b0008	b1702	0.294
b0008	b3075	0.157
b0008	b3934	0.157
b0008	b2599	0.136
b0008	b2935	0.18
b0008	b2195	0.127
b0008	b3553	0.081
b0008	b2341	0.118
b0008	b3438	0.157
b0008	b0928	0.123
b0008	b4025	0.115
b0008	b0678	0.124
b0008	b3809	0.121
b0008	b0605	0.163
b0008	b3569	0.158
b0008	b4241	0.157
b0008	b2545	0.127
b0008	b1313	0.127
b0008	b3564	0.127
b0008	b4301	0.157
b0008	b1136	0.109
b0008	b0187	0.124
b0008	b3846	0.118
b0008	b2329	0.144
b0008	b1320	0.157
b0008	b2779	0.126
b0008	b4034	0.307
b0008	b2029	0.145
b0008	b0134	0.365
b0008	b1511	0.127
b0008	b1692	0.136
b0008	b0907	0.164
b0008	b2837	0.158
b0008	b1774	0.127
b0008	b2518	0.119
b0008	b2061	0.212
b0008	b1282	0.092
b0008	b3281	0.136
b0008	b0463	0.1
b0008	b2091	0.127
