Accession	Corrected_Abundance_Ratio	LOG2(Corrected_Abundance_Ratio)	LOG10(Adj.P-val)	GO_terms
P75936	0.0758169934640523	-3.7213349424524416	4.260067468664702	GO:0005829,GO:0044781
P76231	0.09281045751633986	-3.429568818075332	3.454627430496681	
P0A8S9	0.10261437908496732	-3.2846951886883873	4.571899346707153	GO:0003677,GO:0005737,GO:0006351,GO:0044780,GO:0045893,GO:1902208
P0CE48				GO:0003746,GO:0003924,GO:0005525,GO:0005829,GO:0005886,GO:0046677
P05706	0.1084967320261438	-3.2042765062330893	1.6997676690510173	GO:0005737,GO:0008982,GO:0009401,GO:0016301,GO:0016773
P29744	0.12418300653594772	-3.0094603292490665	1.4347865890840352	GO:0005198,GO:0005576,GO:0009424,GO:0071973
P0A9A2	0.12679738562091503	-2.9794030953928865	2.887197633129546	GO:0005829,GO:0006826,GO:0006879,GO:0008199
P75937	0.13790849673202613	-2.858216748872829	6.154103777563968	GO:0005829,GO:0009424,GO:0009425,GO:0071973
P43533	0.1503267973856209	-2.733825886635639	2.87850667585906	GO:0005737,GO:0044780
P0ABR1	0.15947712418300652	-2.648578600017128	0.3288737235287374	GO:0006281,GO:0009432,GO:0019899
P26608	0.16209150326797386	-2.625119627193139	0.2771554572498575	GO:0005829,GO:0044780,GO:0071973
P21865	0.17058823529411765	-2.55140994101013		GO:0000155,GO:0005524,GO:0005886,GO:0005887,GO:0008134,GO:0009593,GO:0016791,GO:0023014,GO:0031668,GO:0046777,GO:0071472
P0ABH9	0.17450980392156865	-2.51862000589246	6.154103777563968	GO:0004176,GO:0005524,GO:0005829,GO:0006979,GO:0016887,GO:0043335
P36667	0.19607843137254902	-2.3504972470841334		GO:0009103,GO:0016758,GO:0045226
P52614	0.19673202614379084	-2.3456962608203122	4.114204046490409	GO:0009424,GO:0044780,GO:0071973
P0ACY9	0.20130718954248367	-2.312529396885113	1.194484636397993	GO:0005829,GO:0006281,GO:0009432,GO:0010165
P0C054	0.20261437908496732	-2.303191532305777	4.07237240446157	GO:0005829,GO:0009408,GO:0042802,GO:0050821
P69741	0.2084967320261438	-2.2619033238151447	0.0	GO:0008901,GO:0009375,GO:0016020,GO:0031236,GO:0033748,GO:0042597,GO:0046872,GO:0051536,GO:0051538,GO:0051539
P06959	0.21045751633986928	-2.248399059465397	5.851209496741259	GO:0004742,GO:0005737,GO:0006086,GO:0006090,GO:0006096,GO:0031405,GO:0045254
P0AER0	0.22614379084967318	-2.1446877099432897	1.571788011010799	GO:0005886,GO:0006833,GO:0015168,GO:0015254,GO:0015793,GO:0016021,GO:0046872,GO:0071288
P52613	0.22614379084967318	-2.1446877099432897	0.21711254596139254	GO:0003774,GO:0005886,GO:0006935,GO:0009288,GO:0015031,GO:0044781,GO:0071973
P0AGK8	0.226797385620915	-2.1405240850017537	1.5665821233853168	GO:0003690,GO:0003700,GO:0005506,GO:0005829,GO:0006355,GO:0042802,GO:0051537
P24216	0.22745098039215683	-2.136372441731286	0.0	GO:0005576,GO:0007155,GO:0009421,GO:0009424,GO:0071973
P0AEM4	0.22875816993464052	-2.1281048257476853	1.2415186799964064	GO:0016989,GO:0044781,GO:0045861,GO:0045892
P09373	0.23267973856209148	-2.1035825066136167	5.447748876859827	GO:0005829,GO:0006006,GO:0008861,GO:0016020
P52643	0.23267973856209148	-2.1035825066136167	2.5687698000134858	GO:0005829,GO:0008720,GO:0009408,GO:0019664,GO:0070404
P04982	0.2372549019607843	-2.0754901995842636	3.9069605986227423	GO:0005829,GO:0016866,GO:0016872,GO:0019303,GO:0042802,GO:0048029
P0AFP6	0.2372549019607843	-2.0754901995842636	0.858136820108264	GO:0005829,GO:0006281,GO:0010212,GO:0042802,GO:0046872
P0A9G6	0.23856209150326796	-2.0675632838126345	6.102280414864314	GO:0004451,GO:0005829,GO:0006097,GO:0006099,GO:0043169,GO:0046872
P33602	0.25098039215686274	-1.994353436858858	6.364546423133871	GO:0005886,GO:0008137,GO:0009055,GO:0009060,GO:0030964,GO:0042773,GO:0043546,GO:0045272,GO:0046872,GO:0048038,GO:0051537,GO:0051539
P0A759	0.25359477124183005	-1.9794030953928867	0.8548069170294581	GO:0004342,GO:0005829,GO:0005975,GO:0006046,GO:0006048,GO:0019262,GO:0042802
P41409	0.25555555555555554	-1.968291140272662	3.111093694868277	GO:0005509,GO:0006206,GO:0015949,GO:0045437,GO:0046133,GO:0047405
P37646	0.25620915032679736	-1.9646060934648062	0.0	GO:0000166,GO:0071111,GO:1902021
Q46938	0.2575163398692811	-1.9572641181236379	5.77642537932588	GO:0005829,GO:0008270,GO:0008697,GO:0019698,GO:0042802,GO:0042840,GO:0045490,GO:0046872
P06721	0.2581699346405229	-1.9536070945155488	1.4455771891696516	GO:0004121,GO:0005737,GO:0009086,GO:0030170,GO:0047804,GO:0080146
P0ABX5	0.2581699346405229	-1.9536070945155488	0.0	GO:0009279,GO:0009426,GO:0071973
